"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate","thrpt",1,12,1294.236197,562.530585,"MB/sec",
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate.norm","thrpt",1,12,90408.509033,0.170661,"B/op",
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.count","thrpt",1,12,78.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.time","thrpt",1,12,57.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.writeConfigMap","thrpt",1,12,377364.526703,44728.611782,"ops/s",
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate","thrpt",1,12,2898.623056,343.556618,"MB/sec",
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate.norm","thrpt",1,12,8056.018797,0.002810,"B/op",
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.count","thrpt",1,12,146.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.time","thrpt",1,12,83.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.writeCustomer","thrpt",1,12,2003687.042599,71784.237729,"ops/s",
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate","thrpt",1,12,5548.130864,198.811938,"MB/sec",
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate.norm","thrpt",1,12,2904.003508,0.000130,"B/op",
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.count","thrpt",1,12,229.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.time","thrpt",1,12,133.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.writeDerived","thrpt",1,12,1685209.367847,49587.908661,"ops/s",
"lab.jvm.serialization.SerializationBench.writeDerived:gc.alloc.rate","thrpt",1,12,5887.223614,173.461481,"MB/sec",
